Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,10695.589844,10764.049805,10695.589844,10760.290039,10760.290039,41222900
2020-05-12,10760.290039,10819.650391,10734.250000,10818.669922,10818.669922,60710000
2020-05-13,10818.669922,10818.669922,10677.690430,10788.030273,10788.030273,59868900
2020-05-14,10788.910156,10807.019531,10721.379883,10745.160156,10745.160156,30671300
2020-05-15,10745.160156,10820.980469,10700.080078,10730.679688,10730.679688,39583600
2020-05-18,10730.679688,10819.379883,10730.679688,10757.940430,10757.940430,29661500
2020-05-19,10757.940430,10915.139648,10757.940430,10790.139648,10790.139648,40917500
2020-05-20,10790.139648,10804.660156,10718.160156,10788.059570,10788.059570,27122500
2020-05-21,10788.059570,10840.759766,10731.549805,10731.549805,10731.549805,29721300
2020-05-22,10731.549805,10790.589844,10653.030273,10662.629883,10662.629883,25926800
2020-05-25,10662.629883,10803.320313,10662.629883,10775.799805,10775.799805,35929200
2020-05-26,10775.799805,10935.599609,10770.129883,10914.740234,10914.740234,50414400
2020-05-27,10916.400391,11057.910156,10916.400391,11049.190430,11049.190430,52099700
2020-05-28,11049.190430,11109.339844,10856.690430,10856.690430,10856.690430,72351800
2020-05-29,10856.690430,10931.639648,10828.530273,10882.410156,10882.410156,253732700
2020-06-02,10883.179688,11034.169922,10883.179688,11034.169922,11034.169922,54070000
2020-06-03,11034.169922,11142.349609,11034.169922,11118.269531,11118.269531,59750600
2020-06-04,11118.269531,11295.969727,11118.269531,11222.799805,11222.799805,80946600
2020-06-05,11229.900391,11278.580078,11134.169922,11171.660156,11171.660156,81834600
2020-06-08,11171.660156,11524.160156,11171.660156,11524.160156,11524.160156,59686300
2020-06-09,11525.450195,11590.540039,11296.669922,11298.690430,11298.690430,87079100
2020-06-10,11301.669922,11337.040039,11216.530273,11260.519531,11260.519531,59607800
2020-06-11,11260.849609,11260.849609,11093.320313,11154.929688,11154.929688,51923100
2020-06-12,11154.929688,11154.929688,10646.089844,10905.940430,10905.940430,73560600
2020-06-15,10905.940430,11043.599609,10864.120117,10864.120117,10864.120117,52636900
2020-06-16,10864.120117,11003.469727,10864.120117,10953.849609,10953.849609,37352900
2020-06-17,10953.849609,11334.309570,10953.849609,11334.309570,11334.309570,36797900
2020-06-18,11335.349609,11335.349609,11166.599609,11225.280273,11225.280273,48803100
2020-06-19,11225.280273,11297.309570,11149.549805,11254.740234,11254.740234,111937000
2020-06-22,11254.740234,11261.379883,11123.379883,11158.459961,11158.459961,31201100
2020-06-23,11158.459961,11259.940430,11132.580078,11132.580078,11132.580078,72737200
2020-06-24,11132.580078,11268.250000,11132.580078,11259.410156,11259.410156,41459000
2020-06-25,11264.519531,11264.519531,11105.000000,11124.360352,11124.360352,43025200
2020-06-26,11125.469727,11226.830078,11125.469727,11129.230469,11129.230469,47145400
2020-06-29,11129.230469,11252.540039,11105.519531,11252.540039,11252.540039,31643900
2020-06-30,11253.410156,11460.620117,11253.410156,11451.049805,11451.049805,65130800
2020-07-01,11451.049805,11488.910156,11329.219727,11350.269531,11350.269531,37728800
2020-07-02,11350.269531,11506.030273,11350.269531,11502.519531,11502.519531,42697700
2020-07-03,11502.519531,11639.940430,11502.519531,11558.700195,11558.700195,28917900
2020-07-06,11567.309570,11663.660156,11541.870117,11656.209961,11656.209961,27854000
2020-07-07,11656.209961,11761.629883,11656.209961,11743.730469,11743.730469,31379600
2020-07-08,11743.730469,11815.150391,11647.469727,11707.269531,11707.269531,32902800
2020-07-09,11710.049805,11710.049805,11440.879883,11440.879883,11440.879883,50483100
2020-07-10,11440.879883,11501.019531,11374.209961,11394.860352,11394.860352,35563000
2020-07-13,11394.860352,11491.519531,11394.860352,11434.790039,11434.790039,34259600
2020-07-14,11434.790039,11496.330078,11425.740234,11494.139648,11494.139648,56553500
2020-07-15,11494.139648,11613.339844,11494.139648,11610.519531,11610.519531,37811200
2020-07-16,11610.519531,11683.360352,11476.879883,11505.059570,11505.059570,42804500
2020-07-17,11505.059570,11600.870117,11478.330078,11584.049805,11584.049805,37452000
2020-07-20,11584.049805,11651.459961,11530.990234,11553.160156,11553.160156,25402600
2020-07-21,11553.160156,11746.250000,11553.160156,11736.730469,11736.730469,33631700
2020-07-22,11736.730469,11803.929688,11722.969727,11722.969727,11722.969727,35487800
2020-07-23,11722.969727,11757.139648,11674.169922,11693.410156,11693.410156,34407500
2020-07-24,11693.410156,11695.169922,11600.669922,11636.259766,11636.259766,20554700
2020-07-27,11636.259766,11636.259766,11569.370117,11585.620117,11585.620117,28714500
2020-07-28,11585.620117,11687.129883,11578.269531,11578.269531,11578.269531,29828700
2020-07-29,11578.269531,11627.830078,11570.349609,11599.440430,11599.440430,21915300
2020-07-30,11599.440430,11692.019531,11599.440430,11692.019531,11692.019531,27808700
2020-07-31,11692.740234,11727.629883,11676.780273,11727.629883,11727.629883,35651500
2020-08-03,11727.629883,11727.629883,11629.049805,11666.089844,11666.089844,26920600
2020-08-04,11666.089844,11794.000000,11666.089844,11771.719727,11771.719727,39953200
2020-08-05,11771.719727,11783.570313,11713.820313,11757.719727,11757.719727,26802400
2020-08-06,11757.719727,11779.799805,11712.519531,11764.589844,11764.589844,40384000
2020-08-07,11764.589844,11780.190430,11631.290039,11646.679688,11646.679688,26206700
2020-08-10,11646.679688,11707.410156,11633.330078,11683.440430,11683.440430,21232800
2020-08-11,11683.440430,11710.120117,11632.900391,11645.320313,11645.320313,42864300
2020-08-12,11645.320313,11645.320313,11338.849609,11491.910156,11491.910156,64187400
2020-08-13,11491.910156,11575.870117,11491.599609,11500.820313,11500.820313,49397000
2020-08-14,11500.820313,11523.280273,11442.309570,11452.139648,11452.139648,33939300
2020-08-17,11452.139648,11672.950195,11452.139648,11672.950195,11672.950195,31091500
2020-08-18,11672.950195,11899.530273,11672.950195,11849.129883,11849.129883,42736100
2020-08-19,11849.129883,11854.580078,11698.690430,11751.290039,11751.290039,34429600
2020-08-20,11751.290039,11777.370117,11662.160156,11662.160156,11662.160156,36804300
2020-08-21,11662.160156,11837.809570,11662.160156,11835.940430,11835.940430,41933600
2020-08-24,11836.519531,11926.559570,11836.519531,11921.070313,11921.070313,33298600
2020-08-25,11921.070313,12003.469727,11921.070313,11993.179688,11993.179688,33011800
2020-08-26,12009.150391,12031.509766,11958.629883,12031.509766,12031.509766,44342300
2020-08-27,12031.509766,12074.360352,12031.509766,12053.429688,12053.429688,6293600
2020-08-28,12054.750000,12093.519531,11994.379883,12093.519531,12093.519531,48717900
2020-08-31,12093.519531,12114.759766,11937.559570,11937.559570,11937.559570,51819800
2020-09-01,11937.559570,11978.009766,11772.839844,11793.160156,11793.160156,34194100
2020-09-02,11794.589844,11902.980469,11794.589844,11902.980469,11902.980469,51734300
2020-09-03,11903.790039,12055.049805,11903.790039,12055.049805,12055.049805,42292200
2020-09-04,12055.929688,12055.929688,11817.320313,11824.309570,11824.309570,32230500
2020-09-07,11824.940430,11861.969727,11784.129883,11859.450195,11859.450195,35407000
2020-09-08,11859.450195,11944.179688,11859.450195,11895.629883,11895.629883,38815600
2020-09-09,11896.360352,11896.360352,11724.280273,11739.110352,11739.110352,45416900
2020-09-10,11745.889648,11884.309570,11745.889648,11811.780273,11811.780273,58808900
2020-09-11,11813.780273,11813.780273,11694.500000,11748.030273,11748.030273,34942900
2020-09-14,11759.780273,11799.379883,11754.929688,11790.540039,11790.540039,35543500
2020-09-15,11791.820313,11848.339844,11770.750000,11770.750000,11770.750000,35715500
2020-09-16,11771.290039,11849.049805,11771.290039,11814.709961,11814.709961,33797000
2020-09-17,11838.950195,11873.379883,11768.129883,11777.129883,11777.129883,49069500
2020-09-18,11777.129883,11791.650391,11633.519531,11633.519531,11633.519531,116338200
2020-09-21,11633.519531,11663.879883,11539.099609,11539.099609,11539.099609,26166600
2020-09-22,11539.099609,11615.969727,11504.320313,11609.219727,11609.219727,38801600
2020-09-23,11609.219727,11716.730469,11609.219727,11704.620117,11704.620117,50072200
2020-09-24,11711.480469,11711.480469,11630.299805,11689.889648,11689.889648,32068300
2020-09-25,11689.889648,11797.080078,11689.889648,11797.080078,11797.080078,26002000
2020-09-28,11797.080078,11802.290039,11564.339844,11802.290039,11802.290039,36201600
2020-09-29,11815.860352,11876.669922,11727.200195,11742.089844,11742.089844,32620700
2020-09-30,11742.089844,11773.599609,11676.299805,11747.280273,11747.280273,48534800
2020-10-01,11748.610352,11828.000000,11747.509766,11812.730469,11812.730469,33254500
2020-10-02,11812.730469,11863.269531,11785.660156,11822.839844,11822.839844,26559800
2020-10-05,11822.839844,11898.259766,11805.929688,11898.259766,11898.259766,22970200
2020-10-06,11898.259766,11992.450195,11890.809570,11975.019531,11975.019531,36121400
2020-10-07,11975.019531,12016.150391,11923.940430,12016.150391,12016.150391,32084700
2020-10-08,12016.150391,12235.919922,12016.150391,12235.919922,12235.919922,30683400
2020-10-09,12235.919922,12312.690430,12235.919922,12280.540039,12280.540039,28295600
2020-10-12,12280.540039,12356.889648,12280.540039,12356.889648,12356.889648,27060200
2020-10-13,12356.889648,12454.570313,12356.889648,12453.849609,12453.849609,32359700
2020-10-14,12453.849609,12543.610352,12431.169922,12543.610352,12543.610352,34990600
2020-10-15,12543.610352,12545.330078,12456.370117,12486.730469,12486.730469,32077400
2020-10-16,12486.730469,12507.709961,12423.509766,12433.160156,12433.160156,63304000
2020-10-19,12433.160156,12462.610352,12385.250000,12385.250000,12385.250000,27512500
2020-10-20,12385.250000,12474.250000,12385.250000,12462.049805,12462.049805,34645000
2020-10-21,12462.379883,12502.889648,12412.080078,12432.610352,12432.610352,42505400
2020-10-22,12432.610352,12488.730469,12356.009766,12407.290039,12407.290039,44766000
2020-10-23,12407.290039,12470.339844,12367.990234,12470.339844,12470.339844,31926400
2020-10-27,12470.339844,12470.339844,12251.910156,12251.910156,12251.910156,31757100
2020-10-28,12251.910156,12331.980469,12228.730469,12264.519531,12264.519531,37174100
2020-10-29,12264.519531,12264.519531,12098.599609,12201.799805,12201.799805,28980900
2020-10-30,12201.799805,12223.450195,12044.929688,12084.469727,12084.469727,41535300
2020-11-02,12070.830078,12070.830078,12070.830078,12070.830078,12070.830078,0
2020-11-03,12130.309570,12130.309570,12130.309570,12130.309570,12130.309570,0
2020-11-04,12199.929688,12199.929688,12199.929688,12199.929688,12199.929688,0
2020-11-05,12249.980469,12249.980469,12249.980469,12249.980469,12249.980469,0
2020-11-06,12250.870117,12416.940430,12250.870117,12337.019531,12337.019531,24547100
2020-11-09,12562.200195,12562.200195,12562.200195,12562.200195,12562.200195,0
2020-11-10,12612.389648,12612.389648,12612.389648,12612.389648,12612.389648,0
2020-11-11,12665.629883,12665.629883,12665.629883,12665.629883,12665.629883,0
2020-11-12,12670.620117,12670.620117,12670.620117,12670.620117,12670.620117,0
2020-11-13,12670.620117,12733.549805,12595.790039,12700.169922,12700.169922,30724900
2020-11-16,12744.919922,12744.919922,12744.919922,12744.919922,12744.919922,0
2020-11-17,12765.030273,12765.030273,12765.030273,12765.030273,12765.030273,0
2020-11-18,12605.959961,12605.959961,12605.959961,12605.959961,12605.959961,0
2020-11-19,12557.129883,12557.129883,12557.129883,12557.129883,12557.129883,0
2020-11-20,12557.129883,12566.250000,12441.809570,12441.809570,12441.809570,29268700
2020-11-23,12502.290039,12548.849609,12502.290039,12514.950195,12514.950195,11105900
2020-11-24,12555.080078,12709.900391,12555.080078,12677.589844,12677.589844,10906000
2020-11-25,12669.110352,12688.990234,12643.240234,12678.759766,12678.759766,11769800
2020-11-26,12602.019531,12602.019531,12602.019531,12602.019531,12602.019531,0
2020-11-27,12602.019531,12641.570313,12593.769531,12639.830078,12639.830078,27499700
2020-11-30,12768.519531,12768.519531,12768.519531,12768.519531,12768.519531,0
2020-12-01,12729.910156,12729.910156,12729.910156,12729.910156,12729.910156,0
2020-12-02,12728.690430,12728.690430,12728.690430,12728.690430,12728.690430,0
2020-12-03,12648.910156,12648.910156,12648.910156,12648.910156,12648.910156,0
2020-12-04,12650.330078,12707.269531,12620.709961,12631.379883,12631.379883,30973200
2020-12-07,12656.019531,12656.019531,12656.019531,12656.019531,12656.019531,0
2020-12-08,12719.589844,12719.589844,12719.589844,12719.589844,12719.589844,0
2020-12-09,12889.400391,12889.400391,12889.400391,12889.400391,12889.400391,0
2020-12-10,12860.370117,12860.370117,12860.370117,12860.370117,12860.370117,0
2020-12-11,12860.370117,12921.440430,12824.730469,12919.250000,12919.250000,44343000
2020-12-14,12835.120117,12835.120117,12835.120117,12835.120117,12835.120117,0
2020-12-15,12767.169922,12767.169922,12767.169922,12767.169922,12767.169922,0
2020-12-16,12828.990234,12828.990234,12828.990234,12828.990234,12828.990234,0
2020-12-17,12888.769531,12888.769531,12888.769531,12888.769531,12888.769531,0
2020-12-18,12888.769531,12969.349609,12588.120117,12682.000000,12682.000000,84442800
2020-12-21,12607.740234,12607.740234,12607.740234,12607.740234,12607.740234,0
2020-12-22,12842.690430,12842.690430,12842.690430,12842.690430,12842.690430,0
2020-12-23,13020.209961,13020.209961,13020.209961,13020.209961,13020.209961,0
2020-12-24,null,null,null,null,null,null
2020-12-29,13246.769531,13246.769531,13246.769531,13246.769531,13246.769531,0
2020-12-30,13217.139648,13217.139648,13217.139648,13217.139648,13217.139648,0
2020-12-31,13217.139648,13265.309570,13091.639648,13091.639648,13091.639648,12016100
2021-01-05,13367.650391,13367.650391,13367.650391,13367.650391,13367.650391,0
2021-01-06,13333.929688,13333.929688,13333.929688,13333.929688,13333.929688,0
2021-01-07,13485.669922,13485.669922,13485.669922,13485.669922,13485.669922,0
2021-01-08,13485.669922,13643.780273,13366.820313,13558.190430,13558.190430,37115400
2021-01-11,13290.089844,13290.089844,13290.089844,13290.089844,13290.089844,0
2021-01-12,13183.690430,13183.690430,13183.690430,13183.690430,13183.690430,0
2021-01-13,13120.280273,13120.280273,13120.280273,13120.280273,13120.280273,0
2021-01-14,13115.870117,13115.870117,13115.870117,13115.870117,13115.870117,0
2021-01-15,13115.870117,13148.250000,12991.110352,13024.690430,13024.690430,30423300
2021-01-18,12838.360352,12838.360352,12838.360352,12838.360352,12838.360352,0
2021-01-19,12881.309570,12881.309570,12881.309570,12881.309570,12881.309570,0
2021-01-20,13026.450195,13026.450195,13026.450195,13026.450195,13026.450195,0
2021-01-21,13112.190430,13112.190430,13112.190430,13112.190430,13112.190430,0
2021-01-22,13112.190430,13375.679688,13112.190430,13333.429688,13333.429688,35187300
2021-01-25,13399.099609,13399.099609,13399.099609,13399.099609,13399.099609,0
2021-01-26,13323.459961,13323.459961,13323.459961,13323.459961,13323.459961,0
2021-01-27,13323.459961,13393.280273,13287.889648,13374.000000,13374.000000,28936400
2021-01-28,13086.459961,13279.959961,13086.459961,13238.719727,13238.719727,5110900
2021-01-29,13086.459961,13279.959961,13086.459961,13127.290039,13127.290039,31465200
2021-02-01,13097.250000,13097.250000,13097.250000,13097.250000,13097.250000,0
2021-02-02,13044.500000,13044.500000,13044.500000,13044.500000,13044.500000,0
2021-02-03,13091.209961,13091.209961,13091.209961,13091.209961,13091.209961,0
2021-02-04,12992.139648,12992.139648,12992.139648,12992.139648,12992.139648,0
2021-02-05,12992.139648,13067.469727,12960.440430,13053.870117,13053.870117,37011200
2021-02-09,12927.690430,12971.940430,12922.589844,12949.820313,12949.820313,3362200
2021-02-10,12830.030273,12830.030273,12830.030273,12830.030273,12830.030273,0
2021-02-11,12761.129883,12761.129883,12761.129883,12761.129883,12761.129883,0
2021-02-12,12761.129883,12801.230469,12589.639648,12589.639648,12589.639648,31011800
2021-02-15,12510.559570,12510.559570,12510.559570,12510.559570,12510.559570,0
2021-02-16,12610.719727,12610.719727,12610.719727,12610.719727,12610.719727,0
2021-02-17,12673.969727,12673.969727,12673.969727,12673.969727,12673.969727,0
2021-02-18,12633.599609,12633.599609,12633.599609,12633.599609,12633.599609,0
2021-02-19,12633.599609,12642.559570,12503.820313,12548.629883,12548.629883,42274500
2021-02-22,12426.240234,12426.240234,12426.240234,12426.240234,12426.240234,0
2021-02-23,12388.839844,12388.839844,12388.839844,12388.839844,12388.839844,0
2021-02-24,12282.419922,12282.419922,12282.419922,12282.419922,12282.419922,0
2021-02-25,12140.660156,12140.660156,12140.660156,12140.660156,12140.660156,0
